time,lat,lon,altitude
1589035330,53.1164,-0.32552,9723.91
1589035380,53.1196,-0.312317,9514.28
1589035430,53.1225,-0.29958,9307.3
1589035480,53.1251,-0.287291,9102.89
1589035530,53.1276,-0.275415,8900.97
1589035580,53.1299,-0.263943,8701.46
1589035630,53.1322,-0.252909,8504.3
1589035680,53.1346,-0.242373,8309.41
1589035730,53.137,-0.232343,8116.74
1589035780,53.1394,-0.222853,7926.22
1589035830,53.1419,-0.213909,7737.8
1589035880,53.1444,-0.205483,7551.42
1589035930,53.1469,-0.197512,7367.02
1589035980,53.1492,-0.189963,7184.56
1589036030,53.1514,-0.182524,7003.98
1589036080,53.1534,-0.175094,6825.24
1589036130,53.1554,-0.167912,6648.29
1589036180,53.1574,-0.161327,6473.08
1589036230,53.1595,-0.155293,6299.59
1589036280,53.1617,-0.149618,6127.76
1589036330,53.1639,-0.144249,5957.55
1589036380,53.1661,-0.138671,5788.94
1589036430,53.1683,-0.132667,5621.87
1589036480,53.1703,-0.126422,5456.33
1589036530,53.172,-0.120137,5292.27
1589036580,53.1735,-0.113848,5129.66
1589036630,53.1748,-0.107629,4968.47
1589036680,53.1758,-0.101497,4808.67
1589036730,53.1766,-0.0954901,4650.24
1589036780,53.1773,-0.0896209,4493.13
1589036830,53.1778,-0.0839387,4337.34
1589036880,53.1782,-0.0784515,4182.82
1589036930,53.1786,-0.0731417,4029.55
1589036980,53.179,-0.0680039,3877.51
1589037030,53.1795,-0.0630577,3726.68
1589037080,53.18,-0.0583123,3577.03
1589037130,53.1805,-0.0538612,3428.54
1589037180,53.181,-0.0497358,3281.18
1589037230,53.1816,-0.0458397,3134.94
1589037280,53.1821,-0.0421292,2989.79
1589037330,53.1828,-0.0385931,2845.72
1589037380,53.1834,-0.0352293,2702.71
1589037430,53.1841,-0.0320723,2560.73
1589037480,53.1847,-0.0291385,2419.77
1589037530,53.1854,-0.0264794,2279.8
1589037580,53.186,-0.0241089,2140.83
1589037630,53.1867,-0.0220446,2002.81
1589037680,53.1873,-0.0202849,1865.75
1589037730,53.188,-0.0188202,1729.62
1589037780,53.1887,-0.0176439,1594.41
1589037830,53.1896,-0.0167471,1460.1
1589037880,53.1907,-0.0160771,1326.68
1589037930,53.192,-0.0155827,1194.14
1589037980,53.1933,-0.0152297,1062.45
1589038030,53.1946,-0.0150092,931.613
1589038080,53.196,-0.0149797,801.606
1589038130,53.1974,-0.0151609,672.419
1589038180,53.1986,-0.0155798,544.039
1589038230,53.1997,-0.0163785,416.454
1589038280,53.2006,-0.017754,289.652
1589038330,53.2013,-0.0198466,163.621
1589038380,53.2017,-0.0226138,38.3494
1589038396,53.2018,-0.0234724,-1.57889
